CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
1308,Customer_22,Male,33,Single,Maharashtra,Delhi,IT,Barfi,749,1,5,UPI,2024-10-31,711.55,139.0226541514568
1769,Customer_23,Male,56,Single,Maharashtra,Lucknow,Healthcare,Barfi,699,5,17,UPI,2024-10-27,2900.85,706.8391980155756
1805,Customer_27,Female,20,Married,Maharashtra,Patna,Education,Barfi,777,2,24,Debit Card,2024-10-31,1181.04,156.53498108553373
1560,Customer_39,Female,29,Single,Bihar,Delhi,Business,Barfi,342,3,11,UPI,2024-10-27,913.14,246.1902307397398
1510,Customer_42,Female,43,Married,Maharashtra,Patna,Business,Barfi,300,4,23,UPI,2024-10-30,924.0,171.62413347829292
1699,Customer_45,Female,53,Married,Uttar Pradesh,Mumbai,IT,Barfi,211,4,2,Credit Card,2024-10-31,827.12,192.29448395163746
1782,Customer_47,Male,47,Single,Madhya Pradesh,Patna,Education,Barfi,760,3,1,UPI,2024-11-03,2257.2,356.1342168211537
1957,Customer_51,Male,22,Single,Madhya Pradesh,Lucknow,Business,Barfi,357,5,17,Cash,2024-10-28,1481.55,161.46266700539095
1831,Customer_56,Male,36,Single,Madhya Pradesh,Lucknow,Student,Barfi,206,5,21,Net Banking,2024-10-29,813.7,230.83471756734383
1504,Customer_57,Male,49,Single,Delhi,Mumbai,Business,Barfi,725,4,16,UPI,2024-11-01,2436.0,706.8924112416416
1484,Customer_59,Female,22,Single,Bihar,Bhopal,Education,Barfi,598,4,11,Credit Card,2024-10-28,2128.88,364.9416187223309
1166,Customer_64,Female,19,Single,Madhya Pradesh,Lucknow,Healthcare,Barfi,405,4,19,Credit Card,2024-10-26,1312.2,303.54625898389503
1387,Customer_66,Male,49,Married,Bihar,Patna,Healthcare,Barfi,736,2,1,Cash,2024-11-01,1457.28,201.5689135920894
1315,Customer_68,Female,37,Married,Uttar Pradesh,Mumbai,Business,Barfi,488,3,2,UPI,2024-11-02,1434.72,172.68395600027193
1013,Customer_69,Male,41,Single,Maharashtra,Lucknow,IT,Barfi,363,4,7,Net Banking,2024-10-25,1350.36,271.68106405778843
1241,Customer_70,Female,29,Married,Delhi,Mumbai,Education,Barfi,294,4,23,Net Banking,2024-11-02,905.52,130.54932240573277
1345,Customer_72,Female,50,Single,Uttar Pradesh,Patna,IT,Barfi,535,1,6,Cash,2024-11-03,502.9,53.91277274375167
1034,Customer_84,Female,48,Married,Madhya Pradesh,Mumbai,Business,Barfi,372,2,5,Debit Card,2024-10-29,706.8,197.06917060610033
1080,Customer_86,Male,52,Single,Uttar Pradesh,Bhopal,Student,Barfi,327,1,20,UPI,2024-11-02,261.6,72.85864646209235
1931,Customer_87,Female,40,Single,Madhya Pradesh,Bhopal,Student,Barfi,291,3,2,Credit Card,2024-10-25,855.54,157.324907350048
1401,Customer_99,Female,28,Married,Maharashtra,Mumbai,Student,Barfi,666,4,2,UPI,2024-10-27,2610.72,752.2969926735747
1201,Customer_103,Female,38,Married,Uttar Pradesh,Delhi,Business,Barfi,255,5,18,Net Banking,2024-10-31,1045.5,279.32120152608894
1957,Customer_104,Female,53,Single,Bihar,Patna,Healthcare,Barfi,662,1,0,Cash,2024-11-03,662.0,110.18209278450605
1295,Customer_115,Male,41,Married,Delhi,Mumbai,Education,Barfi,599,3,2,Credit Card,2024-11-01,1761.06,445.74075209269233
1187,Customer_126,Female,34,Married,Maharashtra,Patna,Business,Barfi,262,5,21,Net Banking,2024-10-25,1034.9,254.4497854803335
1040,Customer_129,Female,39,Single,Madhya Pradesh,Delhi,IT,Barfi,682,5,18,Credit Card,2024-10-31,2796.2000000000003,650.422511544146
1156,Customer_130,Male,30,Single,Maharashtra,Mumbai,Business,Barfi,718,2,13,Credit Card,2024-11-02,1249.32,310.30518383921236
1856,Customer_134,Male,58,Single,Uttar Pradesh,Delhi,Education,Barfi,654,4,18,UPI,2024-11-02,2145.1200000000003,354.0714195790969
1838,Customer_135,Female,36,Married,Madhya Pradesh,Bhopal,Student,Barfi,797,2,8,Credit Card,2024-10-31,1466.48,355.6569865124614
1647,Customer_139,Female,45,Single,Madhya Pradesh,Delhi,Healthcare,Barfi,773,4,13,Credit Card,2024-10-28,2690.04,754.2550413726168
1498,Customer_143,Female,33,Single,Maharashtra,Bhopal,IT,Barfi,670,4,18,Net Banking,2024-10-30,2197.6000000000004,392.5771547557925
1288,Customer_148,Female,38,Single,Delhi,Patna,IT,Barfi,441,5,5,Net Banking,2024-10-28,2094.75,506.64496108859976
