CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
3308,Customer_22,Male,33,Single,Maharashtra,Delhi,IT,Fairy Lights,505,2,17,Credit Card,2024-10-25,838.3,124.3850902166881
3769,Customer_23,Male,56,Single,Maharashtra,Lucknow,Healthcare,Fairy Lights,1077,3,10,Credit Card,2024-10-26,2907.9,820.6493361554549
3805,Customer_27,Female,20,Married,Maharashtra,Patna,Education,Fairy Lights,1112,3,17,Debit Card,2024-10-27,2768.8799999999997,294.28865062922665
3560,Customer_39,Female,29,Single,Bihar,Delhi,Business,Fairy Lights,1068,1,6,Debit Card,2024-10-25,1003.92,144.5253971581154
3510,Customer_42,Female,43,Married,Maharashtra,Patna,Business,Fairy Lights,1303,4,11,Cash,2024-10-26,4638.68,997.6459203909856
3699,Customer_45,Female,53,Married,Uttar Pradesh,Mumbai,IT,Fairy Lights,361,3,24,Credit Card,2024-10-25,823.08,142.84284266093397
3782,Customer_47,Male,47,Single,Madhya Pradesh,Patna,Education,Fairy Lights,242,3,20,Credit Card,2024-10-26,580.8000000000001,108.66856577484967
3957,Customer_51,Male,22,Single,Madhya Pradesh,Lucknow,Business,Fairy Lights,343,1,22,Debit Card,2024-11-01,267.54,38.70037723161205
3831,Customer_56,Male,36,Single,Madhya Pradesh,Lucknow,Student,Fairy Lights,141,1,18,Cash,2024-10-29,115.62,24.242786204988303
3504,Customer_57,Male,49,Single,Delhi,Mumbai,Business,Fairy Lights,777,4,24,Net Banking,2024-11-01,2362.08,651.5821843352695
3484,Customer_59,Female,22,Single,Bihar,Bhopal,Education,Fairy Lights,1281,3,11,Net Banking,2024-10-25,3420.27,716.1793999536035
3166,Customer_64,Female,19,Single,Madhya Pradesh,Lucknow,Healthcare,Fairy Lights,1047,2,20,UPI,2024-10-29,1675.2,218.55590130842393
3387,Customer_66,Male,49,Married,Bihar,Patna,Healthcare,Fairy Lights,498,4,9,Net Banking,2024-10-30,1812.72,438.7273399857979
3315,Customer_68,Female,37,Married,Uttar Pradesh,Mumbai,Business,Fairy Lights,958,1,6,Debit Card,2024-10-29,900.52,198.70726737648408
3013,Customer_69,Male,41,Single,Maharashtra,Lucknow,IT,Fairy Lights,229,4,21,Net Banking,2024-10-30,723.64,140.8783627769957
3241,Customer_70,Female,29,Married,Delhi,Mumbai,Education,Fairy Lights,1030,1,22,Credit Card,2024-10-31,803.4,89.9352454478425
3345,Customer_72,Female,50,Single,Uttar Pradesh,Patna,IT,Fairy Lights,365,4,16,Cash,2024-10-25,1226.3999999999999,265.4441645959517
3034,Customer_84,Female,48,Married,Madhya Pradesh,Mumbai,Business,Fairy Lights,480,3,5,Debit Card,2024-10-31,1368.0,368.5923985195879
3080,Customer_86,Male,52,Single,Uttar Pradesh,Bhopal,Student,Fairy Lights,582,4,0,Cash,2024-10-28,2328.0,361.4160985084313
3931,Customer_87,Female,40,Single,Madhya Pradesh,Bhopal,Student,Fairy Lights,1001,2,9,Credit Card,2024-10-30,1821.8200000000002,539.8611316921733
3401,Customer_99,Female,28,Married,Maharashtra,Mumbai,Student,Fairy Lights,191,1,18,Debit Card,2024-10-28,156.62,37.278584590242204
3201,Customer_103,Female,38,Married,Uttar Pradesh,Delhi,Business,Fairy Lights,546,4,23,Credit Card,2024-11-01,1681.68,183.15641812343497
3957,Customer_104,Female,53,Single,Bihar,Patna,Healthcare,Fairy Lights,489,4,14,Debit Card,2024-10-28,1682.16,308.05133215111266
3295,Customer_115,Male,41,Married,Delhi,Mumbai,Education,Fairy Lights,444,2,13,UPI,2024-10-26,772.56,148.11488544821043
3187,Customer_126,Female,34,Married,Maharashtra,Patna,Business,Fairy Lights,1452,3,8,Credit Card,2024-10-27,4007.52,488.0304267290588
3040,Customer_129,Female,39,Single,Madhya Pradesh,Delhi,IT,Fairy Lights,982,4,1,Cash,2024-10-27,3888.72,705.160317896978
3156,Customer_130,Male,30,Single,Maharashtra,Mumbai,Business,Fairy Lights,362,3,24,Net Banking,2024-10-27,825.36,239.85292093604323
3856,Customer_134,Male,58,Single,Uttar Pradesh,Delhi,Education,Fairy Lights,708,2,11,Credit Card,2024-10-25,1260.24,357.75375654773296
3838,Customer_135,Female,36,Married,Madhya Pradesh,Bhopal,Student,Fairy Lights,1383,4,0,Debit Card,2024-11-01,5532.0,748.03202948017
3647,Customer_139,Female,45,Single,Madhya Pradesh,Delhi,Healthcare,Fairy Lights,919,1,5,Net Banking,2024-10-25,873.05,232.1250719832259
3498,Customer_143,Female,33,Single,Maharashtra,Bhopal,IT,Fairy Lights,223,4,24,Credit Card,2024-10-25,677.92,121.37560031281099
3288,Customer_148,Female,38,Single,Delhi,Patna,IT,Fairy Lights,582,2,18,Cash,2024-11-02,954.48,243.0276057038795
3727,Customer_165,Female,27,Married,Madhya Pradesh,Patna,Student,Fairy Lights,1136,3,13,Net Banking,2024-10-26,2964.96,601.6992674840764
3738,Customer_174,Male,19,Single,Delhi,Lucknow,Business,Fairy Lights,564,3,15,Net Banking,2024-11-03,1438.2,428.6084452120506
3942,Customer_176,Male,46,Single,Maharashtra,Patna,Education,Fairy Lights,596,4,12,Credit Card,2024-10-26,2097.92,417.3497947494691
