CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
2270,Customer_4,Female,47,Married,Bihar,Patna,Healthcare,Shirt,3259,3,21,Credit Card,2024-11-02,7723.83,1640.331184338832
2106,Customer_5,Male,36,Single,Maharashtra,Mumbai,IT,Shirt,3383,3,16,Credit Card,2024-11-01,8525.16,2598.454067474561
2020,Customer_8,Male,45,Married,Madhya Pradesh,Mumbai,Healthcare,Shirt,2862,4,5,Net Banking,2024-10-29,10875.6,3754.2871872910832
2458,Customer_14,Female,29,Single,Maharashtra,Lucknow,Student,Shirt,663,2,20,Cash,2024-10-29,1060.8,215.46605384049784
2087,Customer_15,Female,18,Single,Bihar,Patna,Student,Shirt,2668,2,4,Net Banking,2024-10-28,5122.5599999999995,786.3666068974716
2343,Customer_24,Female,22,Single,Bihar,Delhi,Business,Shirt,1823,1,15,Cash,2024-10-31,1549.55,534.3451000831271
2191,Customer_29,Male,43,Single,Maharashtra,Patna,IT,Shirt,1901,3,23,Credit Card,2024-11-02,4391.31,1344.0711950396965
2021,Customer_35,Female,45,Single,Uttar Pradesh,Bhopal,Business,Shirt,1989,1,18,Debit Card,2024-11-03,1630.98,325.0881193152917
2252,Customer_36,Male,22,Married,Delhi,Mumbai,Business,Shirt,3567,2,16,Cash,2024-10-28,5992.5599999999995,1479.056176972513
2975,Customer_46,Female,50,Single,Maharashtra,Patna,Healthcare,Shirt,860,2,7,Debit Card,2024-10-27,1599.6,264.1275645941109
2957,Customer_49,Female,40,Married,Delhi,Delhi,Healthcare,Shirt,893,1,21,Credit Card,2024-10-27,705.47,133.45137317284068
2646,Customer_61,Male,33,Married,Delhi,Delhi,Education,Shirt,4661,4,0,UPI,2024-10-25,18644.0,6217.721211870565
2273,Customer_65,Female,45,Single,Uttar Pradesh,Delhi,Healthcare,Shirt,394,4,5,Net Banking,2024-10-30,1497.1999999999998,436.50008112410836
2776,Customer_71,Male,52,Single,Bihar,Mumbai,Student,Shirt,1348,4,10,Cash,2024-10-30,4852.8,858.2417992917125
2564,Customer_73,Female,50,Married,Uttar Pradesh,Lucknow,Student,Shirt,3264,3,4,Net Banking,2024-10-30,9400.32,2405.8421792400977
2091,Customer_76,Male,20,Married,Uttar Pradesh,Lucknow,Business,Shirt,4523,4,23,Credit Card,2024-10-29,13930.84,3983.1624232159093
2955,Customer_78,Male,50,Married,Bihar,Patna,Business,Shirt,4487,4,9,Debit Card,2024-11-02,16332.68,3347.231901191281
2454,Customer_79,Male,57,Single,Delhi,Delhi,Education,Shirt,4024,2,7,Cash,2024-11-01,7484.639999999999,2330.6652383379947
2942,Customer_83,Male,29,Single,Maharashtra,Delhi,Business,Shirt,3336,3,4,Cash,2024-10-27,9607.68,1525.5073201864693
2561,Customer_88,Female,34,Married,Delhi,Delhi,Education,Shirt,4438,3,14,Net Banking,2024-10-25,11450.039999999999,3649.470479875988
2871,Customer_89,Female,43,Single,Madhya Pradesh,Mumbai,Business,Shirt,4649,2,14,Cash,2024-11-01,7996.28,2768.6200394208868
2387,Customer_90,Female,25,Single,Bihar,Bhopal,Education,Shirt,3501,3,15,Cash,2024-10-31,8927.55,2755.297032949918
2001,Customer_91,Male,46,Married,Uttar Pradesh,Delhi,IT,Shirt,3010,2,13,Cash,2024-10-31,5237.4,1679.9326297872042
2565,Customer_93,Female,27,Married,Bihar,Bhopal,Education,Shirt,4150,1,17,Credit Card,2024-10-25,3444.5,1178.4509234310433
