CustomerID,CustomerName,Gender,Age,Marital_Status,State,City,Occupation,Product_Name,Price,Quantity_Sold,Discount(%),PaymentMode,Date,Total_Amount,Profit
2102,Customer_1,Female,33,Married,Delhi,Mumbai,Student,Kurti,2793,4,10,Net Banking,2024-10-26,10054.800000000001,3445.778433455305
2860,Customer_3,Male,59,Single,Madhya Pradesh,Patna,Student,Kurti,2402,3,6,Debit Card,2024-10-30,6773.639999999999,1933.9314809101327
2071,Customer_6,Male,34,Married,Madhya Pradesh,Patna,Education,Kurti,2231,2,16,UPI,2024-11-03,3748.08,1141.6063095580457
2700,Customer_7,Female,36,Married,Delhi,Delhi,Healthcare,Kurti,4019,1,1,Net Banking,2024-10-27,3978.81,1011.6490854733528
2214,Customer_12,Female,40,Married,Madhya Pradesh,Lucknow,Business,Kurti,1840,4,0,Credit Card,2024-10-29,7360.0,2292.1329510011074
2372,Customer_16,Female,18,Single,Delhi,Lucknow,Business,Kurti,585,2,1,Net Banking,2024-10-30,1158.3,241.6928727734256
2099,Customer_17,Female,51,Single,Madhya Pradesh,Mumbai,Healthcare,Kurti,448,2,21,Cash,2024-10-27,707.84,215.6281488069185
2871,Customer_18,Male,49,Married,Bihar,Bhopal,Student,Kurti,4337,4,15,Net Banking,2024-10-29,14745.8,3739.4184699088287
2661,Customer_21,Female,18,Single,Uttar Pradesh,Patna,IT,Kurti,1312,2,9,Credit Card,2024-10-30,2387.84,358.82244832568466
2413,Customer_26,Female,46,Married,Madhya Pradesh,Bhopal,Education,Kurti,2856,4,6,Debit Card,2024-10-25,10738.56,1661.4591887087786
2856,Customer_38,Male,22,Married,Uttar Pradesh,Bhopal,Healthcare,Kurti,561,3,20,Credit Card,2024-10-31,1346.4,329.5475105909991
2474,Customer_40,Female,33,Married,Madhya Pradesh,Lucknow,Education,Kurti,705,4,3,Debit Card,2024-10-28,2735.4,934.2976443246265
2562,Customer_52,Female,53,Single,Bihar,Delhi,Business,Kurti,3587,3,8,Cash,2024-10-27,9900.12,3032.0540261042024
2875,Customer_53,Male,51,Single,Delhi,Delhi,Education,Kurti,4373,1,7,UPI,2024-10-28,4066.89,1080.408695523734
2243,Customer_55,Female,27,Single,Bihar,Patna,Business,Kurti,3438,2,1,Net Banking,2024-10-27,6807.24,2125.388834328384
